10100000001110,DANGEE DUMS LIMITED,0,1,0.05,INE688Y01014,0915-1530|1815-1915:17,2021-09-23,,NSE:DANGEE-EQ,10,10,1110,DANGEE
101000000011141,SUMIT WOODS LIMITED,0,1,0.05,INE748Z01013,0915-1530|1815-1915:17,2021-09-23,,NSE:SUMIT-BE,10,10,11141,SUMIT
101000000011149,SHRENIK LIMITED,0,1,0.05,INE632X01030,0915-1530|1815-1915:17,2021-09-23,,NSE:SHRENIK-EQ,10,10,11149,SHRENIK
101000000011156,CREATIVE NEWTECH LIMITED,0,1,0.05,INE985W01018,0915-1530|1815-1915:17,2021-09-23,,NSE:CREATIVE-BE,10,10,11156,CREATIVE
101000000011165,COFFEE DAY ENTERPRISE LTD,0,1,0.05,INE335K01011,0915-1530|1815-1915:17,2021-09-23,,NSE:COFFEEDAY-EQ,10,10,11165,COFFEEDAY
101000000011184,IDFC FIRST BANK LIMITED,0,1,0.05,INE092T01019,0915-1530|1815-1915:17,2021-09-23,,NSE:IDFCFIRSTB-EQ,10,10,11184,IDFCFIRSTB
101000000011195,INTERGLOBE AVIATION LTD,0,1,0.05,INE646L01027,0915-1530|1815-1915:17,2021-09-23,,NSE:INDIGO-EQ,10,10,11195,INDIGO
101000000011212,S H KELKAR AND CO. LTD.,0,1,0.05,INE500L01026,0915-1530|1815-1915:17,2021-09-23,,NSE:SHK-EQ,10,10,11212,SHK
101000000011215,PONNIE SUGARS (ERODE) LTD,0,1,0.05,INE838E01017,0915-1530|1815-1915:17,2021-09-23,,NSE:PONNIERODE-BE,10,10,11215,PONNIERODE
101000000011220,VARDHAMAN ACRYLICS LTD,0,1,0.05,INE116G01013,0915-1530|1815-1915:17,2021-09-23,,NSE:VARDHACRLC-EQ,10,10,11220,VARDHACRLC
101000000011223,UCO BANK,0,1,0.05,INE691A01018,0915-1530|1815-1915:17,2021-09-23,,NSE:UCOBANK-EQ,10,10,11223,UCOBANK
101000000011233,SUVEN LIFE SCIENCES LTD,0,1,0.05,INE495B01038,0915-1530|1815-1915:17,2021-09-23,,NSE:SUVEN-EQ,10,10,11233,SUVEN
101000000011236,JINDAL STAINLESS LIMITED,0,1,0.05,INE220G01021,0915-1530|1815-1915:17,2021-09-23,,NSE:JSL-EQ,10,10,11236,JSL
101000000011239,NALWA SONS INVESTMENT LTD,0,1,0.05,INE023A01030,0915-1530|1815-1915:17,2021-09-23,,NSE:NSIL-EQ,10,10,11239,NSIL
101000000011253,WELSPUN INDIA LTD,0,1,0.05,INE192B01031,0915-1530|1815-1915:17,2021-09-23,,NSE:WELSPUNIND-EQ,10,10,11253,WELSPUNIND
101000000011256,JAI BALAJI INDUSTRIES LTD,0,1,0.05,INE091G01018,0915-1530|1815-1915:17,2021-09-23,,NSE:JAIBALAJI-EQ,10,10,11256,JAIBALAJI
101000000011262,INDRAPRASTHA GAS LTD,0,1,0.05,INE203G01027,0915-1530|1815-1915:17,2021-09-23,,NSE:IGL-EQ,10,10,11262,IGL
101000000011265,TVS ELECTRONICS LTD,0,1,0.05,INE236G01019,0915-1530|1815-1915:17,2021-09-23,,NSE:TVSELECT-EQ,10,10,11265,TVSELECT
101000000011268,RADAAN MEDIAWORKS (I) LTD,0,1,0.05,INE874F01027,0915-1530|1815-1915:17,2021-09-23,,NSE:RADAAN-BE,10,10,11268,RADAAN
10100000001127,GHCL LIMITED,0,1,0.05,INE539A01019,0915-1530|1815-1915:17,2021-09-23,,NSE:GHCL-EQ,10,10,1127,GHCL
